ID,Karma,Average,Stories,Comments,About,Created
2oi03i9fhujcnd,19,0.0,0,9,0,1294368308
2old2randr,1,0.0,0,1,0,1375244079
2old4startups,1,0.0,0,1,0,1344628043
2pasc,244,2.40909,12,145,0,1315260597
2pi,298,0.0,1,0,0,1375886126
2pinkyshah,1,0.0,1,0,0,1306951923
2plus2equals5,3,0.0,0,2,0,1287964069
2plus2make5,1,0.0,0,1,0,1394395752
2pointsomone,139,0.0,23,20,0,1346565967
2pxl,1,0.0,0,1,0,1375730561
2q3241,1,0.0,0,1,0,1317540790
2rams,3,0.0,0,1,0,1323130679
2rs1,5,0.0,2,6,0,1244654290
2sexytee,1,0.0,3,0,0,1321748487
2shea,2,0.0,0,1,0,1297315310
2sk21,23,0.0,0,9,0,1440677398
2snakes,2,0.0,0,1,0,1414339741
2sporty,1,0.0,0,1,0,1374801815
2stoned2play,-6,0.0,0,1,0,1305473214
2stop,1,0.0,0,11,0,1391823804
2sw2rcom,1,0.0,7,0,0,1315203255
2swarovsky,5,0.0,2,2,0,1419268065
2t,121,0.0,14,3,0,1358523723
2taps,1,0.0,4,0,0,1378146642
2th3sky,1,0.0,2,2,0,1276655935
2thenextlevel,3,0.0,0,1,0,1437500369
2timer,3,0.0,0,1,0,1290528604
2times,1,0.0,0,1,0,1430383109
2ton_jeff,230,0.0,11,46,0,1423196083
2tsdfsr3y9w,1,0.0,1,0,0,1333247552
2two2,12,0.0,2,0,0,1332249515
2upmedia,10,0.0,1,7,0,1390510934
2v25z86ge9,1,0.0,1,0,0,1315385879
2weeks2013,1,0.0,1,0,0,1370530378
2weiX,1,0.0,0,4,0,1307532335
2wide4u,2,0.0,0,1,0,1358963762
2wo8,1,0.0,1,0,0,1312796197
2xlbuds,86,0.0,0,17,0,1410313500
2xlp,2,0.0,0,2,0,1362085148
2xtreme,1,0.0,0,1,0,1381856407
2xuan,1,0.0,2,0,0,1356083100
2xyo,1,0.0,1,0,0,1370248046
